# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_splice_region_variant	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_upstream_gene_variant
AfuMt00001	AfuMt00001	AfuMt00001-T	protein_coding	0	0	2	23	0	0	0	0	0	23	0	0	2	0	0	0	0
AfuMt00010	AfuMt00010	AfuMt00010-T	protein_coding	1	0	1	24	0	0	0	0	0	20	1	0	1	1	0	1	4
AfuMt00020	AfuMt00020	AfuMt00020-T	protein_coding	1	0	3	22	0	0	0	0	0	14	0	0	3	0	1	0	8
AfuMt00030	AfuMt00030	AfuMt00030-T	protein_coding	0	0	0	26	0	0	0	0	0	13	0	0	0	0	0	0	13
AfuMt00040	AfuMt00040	AfuMt00040-T	protein_coding	0	0	0	25	0	0	0	0	0	3	0	0	0	0	0	0	22
AfuMt00050	AfuMt00050	AfuMt00050-T	protein_coding	0	0	0	19	0	0	0	0	0	1	0	0	0	0	0	0	18
AfuMt00060	AfuMt00060	AfuMt00060-T	protein_coding	0	0	0	16	0	0	0	0	0	2	0	0	0	0	0	0	14
AfuMt00070	AfuMt00070	AfuMt00070-T	protein_coding	0	0	0	17	0	0	0	0	0	15	0	0	0	0	0	0	2
AfuMt00080	AfuMt00080	AfuMt00080-T	protein_coding	0	0	0	31	0	0	0	0	0	13	0	3	0	0	0	0	15
AfuMt00090	AfuMt00090	AfuMt00090-T	protein_coding	0	0	0	28	0	0	0	0	0	13	0	0	0	0	0	0	15
AfuMt00100	AfuMt00100	AfuMt00100-T	protein_coding	0	1	0	19	2	1	2	0	0	8	0	0	0	0	0	0	7
AfuMt00110	AfuMt00110	AfuMt00110-T	protein_coding	0	0	0	18	0	0	0	0	0	5	0	0	0	0	0	0	13
AfuMt00120	AfuMt00120	AfuMt00120-T	protein_coding	0	0	0	19	0	0	0	0	0	6	0	0	0	0	0	0	13
AfuMt00130	AfuMt00130	AfuMt00130-T	protein_coding	0	0	0	16	0	0	0	0	0	3	0	0	0	0	0	0	13
AfuMt00140	AfuMt00140	AfuMt00140-T	protein_coding	0	0	1	15	0	0	0	0	1	2	0	0	0	0	0	0	13
AfuMt00150	AfuMt00150	AfuMt00150-T	protein_coding	0	0	2	8	0	0	0	0	0	0	0	0	2	0	0	0	8
AfuMttA(UGC)4	AfuMttA(UGC)4	AfuMttA(UGC)4-T	protein_coding	0	0	0	19	0	0	0	0	0	16	0	0	0	0	0	0	3
AfuMttC(GCA)4	AfuMttC(GCA)4	AfuMttC(GCA)4-T	protein_coding	0	0	0	25	0	0	0	0	0	22	0	0	0	0	0	0	3
AfuMttD(GUC)10	AfuMttD(GUC)10	AfuMttD(GUC)10-T	protein_coding	0	0	0	5	0	0	0	0	0	2	0	0	0	0	0	0	3
AfuMttE(UUC)5	AfuMttE(UUC)5	AfuMttE(UUC)5-T	protein_coding	0	0	0	17	0	0	0	0	0	14	0	0	0	0	0	0	3
