Chromosome	Length	Total Variants	VarPerKb	SNP	INDEL	Ts	Tv	Ts/Tv
Chr1_A_fumigatus_Af293	4918979	120514	24.50	0	60257	1224	575	2.13
Chr2_A_fumigatus_Af293	4844372	117602	24.28	0	58801	1363	440	3.10
Chr3_A_fumigatus_Af293	4079167	97428	23.88	0	48714	1168	395	2.96
Chr4_A_fumigatus_Af293	3927224	87624	22.31	0	43812	1072	345	3.11
Chr5_A_fumigatus_Af293	3948441	92764	23.49	0	46382	859	451	1.90
Chr6_A_fumigatus_Af293	3778736	93288	24.69	0	46644	1245	469	2.65
Chr7_A_fumigatus_Af293	2058334	49924	24.25	0	24962	519	279	1.86
Chr8_A_fumigatus_Af293	1833124	42338	23.10	0	21169	415	177	2.34
mito_A_fumigatus_Af293	31765	802	25.25	0	401	0	3	0.00
Totals	29420142	702284	23.87	0	351142	7865	3134	2.51
