Chromosome	Length	Total Variants	VarPerKb	SNP	INDEL	Ts	Tv	Ts/Tv
Chr1_A_fumigatus_Af293	4918979	88380	17.97	44190	0	30492	13698	2.23
Chr2_A_fumigatus_Af293	4844372	87426	18.05	43713	0	29961	13752	2.18
Chr3_A_fumigatus_Af293	4079167	81894	20.08	40947	0	28486	12461	2.29
Chr4_A_fumigatus_Af293	3927224	68352	17.40	34176	0	23318	10858	2.15
Chr5_A_fumigatus_Af293	3948441	77972	19.75	38986	0	26377	12609	2.09
Chr6_A_fumigatus_Af293	3778736	75636	20.02	37818	0	25963	11855	2.19
Chr7_A_fumigatus_Af293	2058334	45132	21.93	22566	0	15809	6757	2.34
Chr8_A_fumigatus_Af293	1833124	42186	23.01	21093	0	14386	6707	2.14
mito_A_fumigatus_Af293	31765	84	2.64	42	0	25	17	1.47
Totals	29420142	567062	19.27	283531	0	194817	88714	2.20
