Chromosome	Length	Total Variants	VarPerKb	SNP	INDEL	Ts	Tv	Ts/Tv
Chr1_A_fumigatus_Af293	4918979	81156	16.50	0	40578	144	74	1.95
Chr2_A_fumigatus_Af293	4844372	84452	17.43	0	42226	157	85	1.85
Chr3_A_fumigatus_Af293	4079167	68712	16.84	0	34356	181	92	1.97
Chr4_A_fumigatus_Af293	3927224	62092	15.81	0	31046	131	59	2.22
Chr5_A_fumigatus_Af293	3948441	66136	16.75	0	33068	134	68	1.97
Chr6_A_fumigatus_Af293	3778736	64448	17.06	0	32224	148	81	1.83
Chr7_A_fumigatus_Af293	2058334	32554	15.82	0	16277	51	38	1.34
Chr8_A_fumigatus_Af293	1833124	32022	17.47	0	16011	87	33	2.64
mito_A_fumigatus_Af293	31765	248	7.81	0	124	1	0	0
Totals	29420142	491820	16.72	0	245910	1034	530	1.95
