Chromosome	Length	Total Variants	VarPerKb	SNP	INDEL	Ts	Tv	Ts/Tv
Chr1_A_fumigatus_Af293	4918979	11428	2.32	0	5714	121	62	1.95
Chr2_A_fumigatus_Af293	4844372	7214	1.49	0	3607	95	18	5.28
Chr3_A_fumigatus_Af293	4079167	8654	2.12	0	4327	109	32	3.41
Chr4_A_fumigatus_Af293	3927224	6022	1.53	0	3011	89	13	6.85
Chr5_A_fumigatus_Af293	3948441	7858	1.99	0	3929	66	33	2.00
Chr6_A_fumigatus_Af293	3778736	6682	1.77	0	3341	92	23	4.00
Chr7_A_fumigatus_Af293	2058334	5426	2.64	0	2713	38	22	1.73
Chr8_A_fumigatus_Af293	1833124	4252	2.32	0	2126	39	13	3.00
mito_A_fumigatus_Af293	31765	20	0.63	0	10	0	0	0
Totals	29420142	57556	1.96	0	28778	649	216	3.00
