Chromosome	Length	Total Variants	VarPerKb	SNP	INDEL	Ts	Tv	Ts/Tv
Chr1_A_fumigatus_Af293	4918979	17776	3.61	0	8888	198	76	2.61
Chr2_A_fumigatus_Af293	4844372	14424	2.98	0	7212	268	43	6.23
Chr3_A_fumigatus_Af293	4079167	13744	3.37	0	6872	257	40	6.42
Chr4_A_fumigatus_Af293	3927224	11254	2.87	0	5627	185	38	4.87
Chr5_A_fumigatus_Af293	3948441	12684	3.21	0	6342	134	54	2.48
Chr6_A_fumigatus_Af293	3778736	13236	3.50	0	6618	237	61	3.89
Chr7_A_fumigatus_Af293	2058334	7820	3.80	0	3910	69	28	2.46
Chr8_A_fumigatus_Af293	1833124	5958	3.25	0	2979	62	13	4.77
mito_A_fumigatus_Af293	31765	70	2.20	0	35	0	0	0
Totals	29420142	96966	3.30	0	48483	1410	353	3.99
