Chromosome	Length	Total Variants	VarPerKb	SNP	INDEL	Ts	Tv	Ts/Tv
Chr1_A_fumigatus_Af293	4918979	28878	5.87	14439	0	10382	4057	2.56
Chr2_A_fumigatus_Af293	4844372	33162	6.85	16581	0	12111	4470	2.71
Chr3_A_fumigatus_Af293	4079167	37276	9.14	18638	0	14089	4549	3.10
Chr4_A_fumigatus_Af293	3927224	26062	6.64	13031	0	9728	3303	2.95
Chr5_A_fumigatus_Af293	3948441	33220	8.41	16610	0	11365	5245	2.17
Chr6_A_fumigatus_Af293	3778736	32360	8.56	16180	0	11781	4399	2.68
Chr7_A_fumigatus_Af293	2058334	23062	11.20	11531	0	8166	3365	2.43
Chr8_A_fumigatus_Af293	1833124	18734	10.22	9367	0	6674	2693	2.48
mito_A_fumigatus_Af293	31765	26	0.82	13	0	8	5	1.60
Totals	29420142	232780	7.91	116390	0	84304	32086	2.63
