Chromosome	Length	Total Variants	VarPerKb	SNP	INDEL	Ts	Tv	Ts/Tv
Chr1_A_fumigatus_Af293	4918979	17936	3.65	0	8968	199	80	2.49
Chr2_A_fumigatus_Af293	4844372	14730	3.04	0	7365	265	47	5.64
Chr3_A_fumigatus_Af293	4079167	13834	3.39	0	6917	272	40	6.80
Chr4_A_fumigatus_Af293	3927224	11072	2.82	0	5536	179	33	5.42
Chr5_A_fumigatus_Af293	3948441	12718	3.22	0	6359	155	53	2.92
Chr6_A_fumigatus_Af293	3778736	13526	3.58	0	6763	247	54	4.57
Chr7_A_fumigatus_Af293	2058334	7910	3.84	0	3955	68	31	2.19
Chr8_A_fumigatus_Af293	1833124	6040	3.29	0	3020	62	15	4.13
mito_A_fumigatus_Af293	31765	66	2.08	0	33	0	0	0
Totals	29420142	97832	3.33	0	48916	1447	353	4.10
