Chromosome	Length	Total Variants	VarPerKb	SNP	INDEL	Ts	Tv	Ts/Tv
Chr1_A_fumigatus_Af293	4918979	11308	2.30	0	5654	121	62	1.95
Chr2_A_fumigatus_Af293	4844372	7116	1.47	0	3558	95	17	5.59
Chr3_A_fumigatus_Af293	4079167	8562	2.10	0	4281	109	31	3.52
Chr4_A_fumigatus_Af293	3927224	5936	1.51	0	2968	90	14	6.43
Chr5_A_fumigatus_Af293	3948441	7758	1.96	0	3879	66	33	2.00
Chr6_A_fumigatus_Af293	3778736	6574	1.74	0	3287	94	23	4.09
Chr7_A_fumigatus_Af293	2058334	5388	2.62	0	2694	38	22	1.73
Chr8_A_fumigatus_Af293	1833124	4210	2.30	0	2105	39	13	3.00
mito_A_fumigatus_Af293	31765	20	0.63	0	10	0	0	0
Totals	29420142	56872	1.93	0	28436	652	215	3.03
