Chromosome	Length	Total Variants	VarPerKb	SNP	INDEL	Ts	Tv	Ts/Tv
Chr1_A_fumigatus_Af293	4918979	6502	1.32	0	3251	53	16	3.31
Chr2_A_fumigatus_Af293	4844372	5258	1.09	0	2629	59	13	4.54
Chr3_A_fumigatus_Af293	4079167	5178	1.27	0	2589	59	9	6.56
Chr4_A_fumigatus_Af293	3927224	3884	0.99	0	1942	43	10	4.30
Chr5_A_fumigatus_Af293	3948441	5014	1.27	0	2507	37	11	3.36
Chr6_A_fumigatus_Af293	3778736	5524	1.46	0	2762	67	18	3.72
Chr7_A_fumigatus_Af293	2058334	4158	2.02	0	2079	21	18	1.17
Chr8_A_fumigatus_Af293	1833124	2390	1.30	0	1195	12	1	12.00
mito_A_fumigatus_Af293	31765	20	0.63	0	10	0	0	0
Totals	29420142	37928	1.29	0	18964	351	96	3.66
