Chromosome	Length	Total Variants	VarPerKb	SNP	INDEL	Ts	Tv	Ts/Tv
Chr1_A_fumigatus_Af293	4918979	17570	3.57	0	8785	196	78	2.51
Chr2_A_fumigatus_Af293	4844372	14128	2.92	0	7064	270	46	5.87
Chr3_A_fumigatus_Af293	4079167	13494	3.31	0	6747	260	39	6.67
Chr4_A_fumigatus_Af293	3927224	10980	2.80	0	5490	186	40	4.65
Chr5_A_fumigatus_Af293	3948441	12466	3.16	0	6233	134	56	2.39
Chr6_A_fumigatus_Af293	3778736	12970	3.43	0	6485	240	63	3.81
Chr7_A_fumigatus_Af293	2058334	7724	3.75	0	3862	70	29	2.41
Chr8_A_fumigatus_Af293	1833124	5874	3.20	0	2937	65	13	5.00
mito_A_fumigatus_Af293	31765	70	2.20	0	35	0	0	0
Totals	29420142	95276	3.24	0	47638	1421	364	3.90
