Chromosome	Length	Total Variants	VarPerKb	SNP	INDEL	Ts	Tv	Ts/Tv
Chr1_A_fumigatus_Af293	4918979	13068	2.66	0	6534	76	41	1.85
Chr2_A_fumigatus_Af293	4844372	10394	2.15	0	5197	101	17	5.94
Chr3_A_fumigatus_Af293	4079167	9268	2.27	0	4634	96	17	5.65
Chr4_A_fumigatus_Af293	3927224	7514	1.91	0	3757	61	18	3.39
Chr5_A_fumigatus_Af293	3948441	8914	2.26	0	4457	53	29	1.83
Chr6_A_fumigatus_Af293	3778736	9122	2.41	0	4561	84	31	2.71
Chr7_A_fumigatus_Af293	2058334	5524	2.68	0	2762	24	15	1.60
Chr8_A_fumigatus_Af293	1833124	4032	2.20	0	2016	25	2	12.50
mito_A_fumigatus_Af293	31765	42	1.32	0	21	0	0	0
Totals	29420142	67878	2.31	0	33939	520	170	3.06
