Chromosome	Length	Total Variants	VarPerKb	SNP	INDEL	Ts	Tv	Ts/Tv
Chr1_A_fumigatus_Af293	4918979	6528	1.33	0	3264	53	17	3.12
Chr2_A_fumigatus_Af293	4844372	5314	1.10	0	2657	60	13	4.62
Chr3_A_fumigatus_Af293	4079167	5222	1.28	0	2611	59	9	6.56
Chr4_A_fumigatus_Af293	3927224	3934	1.00	0	1967	43	10	4.30
Chr5_A_fumigatus_Af293	3948441	5058	1.28	0	2529	37	11	3.36
Chr6_A_fumigatus_Af293	3778736	5570	1.47	0	2785	67	18	3.72
Chr7_A_fumigatus_Af293	2058334	4186	2.03	0	2093	21	18	1.17
Chr8_A_fumigatus_Af293	1833124	2404	1.31	0	1202	11	1	11.00
mito_A_fumigatus_Af293	31765	20	0.63	0	10	0	0	0
Totals	29420142	38236	1.30	0	19118	351	97	3.62
