Chromosome	Length	Total Variants	VarPerKb	SNP	INDEL	Ts	Tv	Ts/Tv
Chr1_A_fumigatus_Af293	4918979	3738	0.76	0	1869	4	1	4.00
Chr2_A_fumigatus_Af293	4844372	3412	0.70	0	1706	4	2	2.00
Chr3_A_fumigatus_Af293	4079167	3618	0.89	0	1809	10	6	1.67
Chr4_A_fumigatus_Af293	3927224	2916	0.74	0	1458	3	0	0
Chr5_A_fumigatus_Af293	3948441	3406	0.86	0	1703	1	1	1.00
Chr6_A_fumigatus_Af293	3778736	3090	0.82	0	1545	4	3	1.33
Chr7_A_fumigatus_Af293	2058334	2146	1.04	0	1073	4	4	1.00
Chr8_A_fumigatus_Af293	1833124	1870	1.02	0	935	1	0	0
mito_A_fumigatus_Af293	31765	14	0.44	0	7	0	0	0
Totals	29420142	24210	0.82	0	12105	31	17	1.82
