Chromosome	Length	Total Variants	VarPerKb	SNP	INDEL	Ts	Tv	Ts/Tv
Chr1_A_fumigatus_Af293	4918979	46398	9.43	23199	0	16275	6924	2.35
Chr2_A_fumigatus_Af293	4844372	38998	8.05	19499	0	13595	5904	2.30
Chr3_A_fumigatus_Af293	4079167	48176	11.81	24088	0	17080	7008	2.44
Chr4_A_fumigatus_Af293	3927224	35800	9.12	17900	0	12407	5493	2.26
Chr5_A_fumigatus_Af293	3948441	41540	10.52	20770	0	14041	6729	2.09
Chr6_A_fumigatus_Af293	3778736	35798	9.47	17899	0	12494	5405	2.31
Chr7_A_fumigatus_Af293	2058334	27034	13.13	13517	0	9153	4364	2.10
Chr8_A_fumigatus_Af293	1833124	28508	15.55	14254	0	10066	4188	2.40
mito_A_fumigatus_Af293	31765	32	1.01	16	0	13	3	4.33
Totals	29420142	302284	10.27	151142	0	105124	46018	2.28
