Chromosome	Length	Total Variants	VarPerKb	SNP	INDEL	Ts	Tv	Ts/Tv
Chr1_A_fumigatus_Af293	4918979	118228	24.04	0	59114	1262	590	2.14
Chr2_A_fumigatus_Af293	4844372	114836	23.71	0	57418	1398	443	3.16
Chr3_A_fumigatus_Af293	4079167	95054	23.30	0	47527	1193	400	2.98
Chr4_A_fumigatus_Af293	3927224	85548	21.78	0	42774	1090	344	3.17
Chr5_A_fumigatus_Af293	3948441	90590	22.94	0	45295	876	450	1.95
Chr6_A_fumigatus_Af293	3778736	90908	24.06	0	45454	1280	473	2.71
Chr7_A_fumigatus_Af293	2058334	48936	23.77	0	24468	525	283	1.86
Chr8_A_fumigatus_Af293	1833124	41280	22.52	0	20640	417	169	2.47
mito_A_fumigatus_Af293	31765	774	24.37	0	387	0	2	0.00
Totals	29420142	686154	23.32	0	343077	8041	3154	2.55
