Chromosome	Length	Total Variants	VarPerKb	SNP	INDEL	Ts	Tv	Ts/Tv
Chr1_A_fumigatus_Af293	4918979	351474	71.45	175737	0	119139	56598	2.11
Chr2_A_fumigatus_Af293	4844372	370892	76.56	185446	0	125371	60075	2.09
Chr3_A_fumigatus_Af293	4079167	301418	73.89	150709	0	101436	49273	2.06
Chr4_A_fumigatus_Af293	3927224	269482	68.62	134741	0	90488	44253	2.04
Chr5_A_fumigatus_Af293	3948441	291454	73.81	145727	0	97508	48219	2.02
Chr6_A_fumigatus_Af293	3778736	276254	73.11	138127	0	93098	45029	2.07
Chr7_A_fumigatus_Af293	2058334	137332	66.72	68666	0	45876	22790	2.01
Chr8_A_fumigatus_Af293	1833124	127066	69.32	63533	0	41744	21789	1.92
mito_A_fumigatus_Af293	31765	712	22.41	356	0	237	119	1.99
Totals	29420142	2126084	72.27	1063042	0	714897	348145	2.05
