Chromosome	Length	Total Variants	VarPerKb	SNP	INDEL	Ts	Tv	Ts/Tv
Chr1_A_fumigatus_Af293	4918979	76656	15.58	38328	0	26662	11666	2.29
Chr2_A_fumigatus_Af293	4844372	73640	15.20	36820	0	25666	11154	2.30
Chr3_A_fumigatus_Af293	4079167	70512	17.29	35256	0	25044	10212	2.45
Chr4_A_fumigatus_Af293	3927224	57532	14.65	28766	0	20102	8664	2.32
Chr5_A_fumigatus_Af293	3948441	63472	16.08	31736	0	21534	10202	2.11
Chr6_A_fumigatus_Af293	3778736	63256	16.74	31628	0	21956	9672	2.27
Chr7_A_fumigatus_Af293	2058334	37370	18.16	18685	0	12927	5758	2.25
Chr8_A_fumigatus_Af293	1833124	32920	17.96	16460	0	11400	5060	2.25
mito_A_fumigatus_Af293	31765	66	2.08	33	0	21	12	1.75
Totals	29420142	475424	16.16	237712	0	165312	72400	2.28
