Chromosome	Length	Total Variants	VarPerKb	SNP	INDEL	Ts	Tv	Ts/Tv
Chr1_A_fumigatus_Af293	4918979	363918	73.98	181959	0	122904	59055	2.08
Chr2_A_fumigatus_Af293	4844372	376394	77.70	188197	0	126698	61499	2.06
Chr3_A_fumigatus_Af293	4079167	308762	75.69	154381	0	103389	50992	2.03
Chr4_A_fumigatus_Af293	3927224	274896	70.00	137448	0	91887	45561	2.02
Chr5_A_fumigatus_Af293	3948441	302152	76.52	151076	0	101172	49904	2.03
Chr6_A_fumigatus_Af293	3778736	282860	74.86	141430	0	95064	46366	2.05
Chr7_A_fumigatus_Af293	2058334	144992	70.44	72496	0	48647	23849	2.04
Chr8_A_fumigatus_Af293	1833124	133630	72.90	66815	0	44082	22733	1.94
mito_A_fumigatus_Af293	31765	1906	60.00	953	0	512	441	1.16
Totals	29420142	2189510	74.42	1094755	0	734355	360400	2.04
