# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_disruptive_inframe_deletion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_splice_region_variant	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_upstream_gene_variant
AfuMt00001	AfuMt00001	AfuMt00001-T	protein_coding	0	0	1	7	0	0	0	0	7	0	0	1	0	0	0	0
AfuMt00010	AfuMt00010	AfuMt00010-T	protein_coding	1	0	1	8	0	0	0	0	6	1	0	1	1	0	1	2
AfuMt00020	AfuMt00020	AfuMt00020-T	protein_coding	0	0	2	9	0	0	0	0	5	0	0	2	0	0	0	4
AfuMt00030	AfuMt00030	AfuMt00030-T	protein_coding	0	0	0	13	0	0	0	0	6	0	0	0	0	0	0	7
AfuMt00040	AfuMt00040	AfuMt00040-T	protein_coding	0	0	1	12	0	0	0	0	5	0	0	1	0	0	0	7
AfuMt00050	AfuMt00050	AfuMt00050-T	protein_coding	0	0	0	12	0	0	0	0	6	0	0	0	0	0	0	6
AfuMt00060	AfuMt00060	AfuMt00060-T	protein_coding	0	0	1	10	0	0	0	0	5	0	0	1	0	0	0	5
AfuMt00070	AfuMt00070	AfuMt00070-T	protein_coding	0	0	1	38	0	0	0	0	33	0	0	1	0	0	0	5
AfuMt00080	AfuMt00080	AfuMt00080-T	protein_coding	0	0	2	53	0	0	0	1	19	0	3	1	0	0	0	31
AfuMt00090	AfuMt00090	AfuMt00090-T	protein_coding	0	0	2	51	0	0	0	0	18	0	0	2	0	0	0	33
AfuMt00100	AfuMt00100	AfuMt00100-T	protein_coding	0	2	0	29	6	2	2	0	8	0	0	0	0	0	0	13
AfuMt00110	AfuMt00110	AfuMt00110-T	protein_coding	0	0	0	23	0	0	0	0	4	0	0	0	0	0	0	19
AfuMt00120	AfuMt00120	AfuMt00120-T	protein_coding	0	0	0	22	0	0	0	0	4	0	0	0	0	0	0	18
AfuMt00130	AfuMt00130	AfuMt00130-T	protein_coding	0	0	0	21	0	0	0	0	2	0	0	0	0	0	0	19
AfuMt00140	AfuMt00140	AfuMt00140-T	protein_coding	0	0	0	21	0	0	0	0	2	0	0	0	0	0	0	19
AfuMt00150	AfuMt00150	AfuMt00150-T	protein_coding	0	0	2	9	0	0	0	0	0	0	0	2	0	0	0	9
AfuMttA(UGC)4	AfuMttA(UGC)4	AfuMttA(UGC)4-T	protein_coding	0	0	0	39	0	0	0	0	33	0	0	0	0	0	0	6
AfuMttC(GCA)4	AfuMttC(GCA)4	AfuMttC(GCA)4-T	protein_coding	0	0	0	8	0	0	0	0	7	0	0	0	0	0	0	1
AfuMttD(GUC)10	AfuMttD(GUC)10	AfuMttD(GUC)10-T	protein_coding	0	0	0	9	0	0	0	0	4	0	0	0	0	0	0	5
AfuMttE(UUC)5	AfuMttE(UUC)5	AfuMttE(UUC)5-T	protein_coding	0	0	0	38	0	0	0	0	33	0	0	0	0	0	0	5
AfuMttF(GAA)6	AfuMttF(GAA)6	AfuMttF(GAA)6-T	protein_coding	0	0	0	39	0	0	0	0	33	0	0	0	0	0	0	6
AfuMttG(ACC)1	AfuMttG(ACC)1	AfuMttG(ACC)1-T	protein_coding	0	0	0	10	0	0	0	0	4	0	0	0	0	0	0	6
AfuMttG(UCC)4	AfuMttG(UCC)4	AfuMttG(UCC)4-T	protein_coding	0	0	0	9	0	0	0	0	4	0	0	0	0	0	0	5
AfuMttH(GUG)5	AfuMttH(GUG)5	AfuMttH(GUG)5-T	protein_coding	0	0	0	41	0	0	0	0	11	0	0	0	0	0	0	30
AfuMttI(GAU)1	AfuMttI(GAU)1	AfuMttI(GAU)1-T	protein_coding	0	0	0	10	0	0	0	0	5	0	0	0	0	0	0	5
AfuMttI(UAU)2	AfuMttI(UAU)2	AfuMttI(UAU)2-T	protein_coding	0	0	0	39	0	0	0	0	32	0	0	0	0	0	0	7
AfuMttK(UUU)2	AfuMttK(UUU)2	AfuMttK(UUU)2-T	protein_coding	0	0	0	10	0	0	0	0	4	0	0	0	0	0	0	6
AfuMttL(UAA)2	AfuMttL(UAA)2	AfuMttL(UAA)2-T	protein_coding	1	0	0	37	0	0	0	0	32	0	0	0	0	1	0	5
AfuMttL(UAG)1	AfuMttL(UAG)1	AfuMttL(UAG)1-T	protein_coding	1	0	0	38	0	0	0	0	32	1	0	0	0	1	0	6
AfuMttM(CAU)10	AfuMttM(CAU)10	AfuMttM(CAU)10-T	protein_coding	0	0	0	38	0	0	0	0	33	0	0	0	0	0	0	5
AfuMttM(CAU)11	AfuMttM(CAU)11	AfuMttM(CAU)11-T	protein_coding	0	0	0	39	0	0	0	0	32	0	0	0	0	0	0	7
AfuMttM(CAU)9	AfuMttM(CAU)9	AfuMttM(CAU)9-T	protein_coding	0	0	0	38	0	0	0	0	33	0	0	0	0	0	0	5
AfuMttN(GUU)8	AfuMttN(GUU)8	AfuMttN(GUU)8-T	protein_coding	0	0	0	11	0	0	0	0	5	0	0	0	0	0	0	6
AfuMttP(UGG)3	AfuMttP(UGG)3	AfuMttP(UGG)3-T	protein_coding	0	0	0	10	0	0	0	0	5	0	0	0	0	0	0	5
AfuMttQ(UUG)3	AfuMttQ(UUG)3	AfuMttQ(UUG)3-T	protein_coding	0	0	0	39	0	0	0	0	32	0	0	0	0	0	0	7
AfuMttR(ACG)10	AfuMttR(ACG)10	AfuMttR(ACG)10-T	protein_coding	0	0	0	21	0	0	0	0	2	0	0	0	0	0	0	19
AfuMttR(UCU)2	AfuMttR(UCU)2	AfuMttR(UCU)2-T	protein_coding	0	0	0	11	0	0	0	0	5	0	0	0	0	0	0	6
AfuMttS(GCU)5	AfuMttS(GCU)5	AfuMttS(GCU)5-T	protein_coding	0	0	0	9	0	0	0	0	4	0	0	0	0	0	0	5
AfuMttS(UGA)2	AfuMttS(UGA)2	AfuMttS(UGA)2-T	protein_coding	0	0	0	10	0	0	0	0	5	0	0	0	0	0	0	5
AfuMttT(UGU)4	AfuMttT(UGU)4	AfuMttT(UGU)4-T	protein_coding	0	0	0	38	0	0	0	0	33	0	0	0	0	0	0	5
AfuMttV(UAC)2	AfuMttV(UAC)2	AfuMttV(UAC)2-T	protein_coding	0	0	0	38	0	0	0	0	33	0	0	0	0	0	0	5
AfuMttW(UCA)1	AfuMttW(UCA)1	AfuMttW(UCA)1-T	protein_coding	0	0	0	9	0	0	0	0	4	0	0	0	0	0	0	5
AfuMttY(GUA)7	AfuMttY(GUA)7	AfuMttY(GUA)7-T	protein_coding	0	0	0	12	0	0	0	0	7	0	0	0	0	0	0	5
